pan,tilt,distance,temperature,valid
150,82,345,48,1
148,82,356,48,1
146,82,357,48,1
144,82,359,48,1
142,82,356,48,1
140,82,355,48,1
138,82,355,48,1
136,82,354,48,1
134,82,352,48,1
132,82,353,48,1
130,82,353,48,1
128,82,352,48,1
126,82,352,48,1
124,82,348,48,1
122,82,348,48,1
120,82,347,48,1
118,82,348,48,1
116,82,347,48,1
114,82,348,48,1
112,82,346,48,1
110,82,345,48,1
108,82,345,48,1
106,82,343,48,1
104,82,343,48,1
102,82,342,48,1
100,82,344,48,1
98,82,343,48,1
96,82,342,48,1
94,82,344,48,1
92,82,341,48,1
90,82,228,48,1
88,82,0,48,0
86,82,0,48,0
84,82,0,48,0
82,82,0,49,0
80,82,0,48,0
78,82,128,48,1
76,82,118,48,1
74,82,116,48,1
72,82,112,48,1
70,82,109,48,1
68,82,105,48,1
66,82,104,48,1
64,82,104,48,1
62,82,125,48,1
60,82,122,48,1
58,82,0,48,0
56,82,0,48,0
54,82,235,48,1
52,82,231,49,1
50,82,202,49,1
48,82,166,48,1
46,82,146,48,1
44,82,130,48,1
42,82,108,49,1
40,82,82,48,1
38,82,76,49,1
36,82,90,48,1
34,82,90,48,1
32,82,89,49,1
30,82,87,48,1
28,82,87,49,1
26,82,86,49,1
24,82,85,48,1
22,82,85,48,1
20,82,84,48,1
18,82,84,48,1
16,82,81,49,1
14,82,67,49,1
12,82,57,48,1
10,82,56,48,1
8,82,54,48,1
6,82,54,48,1
4,82,79,48,1
2,82,87,48,1
0,85,89,48,1
2,85,89,48,1
4,85,89,48,1
6,85,87,48,1
8,85,72,48,1
10,85,54,48,1
12,85,54,48,1
14,85,55,48,1
16,85,56,48,1
18,85,60,48,1
20,85,78,48,1
22,85,84,48,1
24,85,85,48,1
26,85,85,48,1
28,85,86,48,1
30,85,86,48,1
32,85,87,48,1
34,85,88,48,1
36,85,89,48,1
38,85,90,48,1
40,85,87,48,1
42,85,76,48,1
44,85,74,48,1
46,85,95,48,1
48,85,107,48,1
50,85,120,48,1
52,85,135,48,1
54,85,147,48,1
56,85,167,48,1
58,85,184,48,1
60,85,0,48,0
62,85,0,48,0
64,85,125,48,1
66,85,126,48,1
68,85,106,48,1
70,85,105,48,1
72,85,105,48,1
74,85,105,48,1
76,85,113,48,1
78,85,115,48,1
80,85,118,48,1
82,85,122,48,1
84,85,0,48,0
86,85,0,48,0
88,85,0,49,0
90,85,0,48,0
92,85,0,49,0
94,85,235,49,1
96,85,341,48,1
98,85,341,49,1
100,85,341,49,1
102,85,341,48,1
104,85,341,48,1
106,85,341,48,1
108,85,342,48,1
110,85,343,49,1
112,85,345,49,1
114,85,342,49,1
116,85,343,49,1
118,85,344,48,1
120,85,346,48,1
122,85,347,49,1
124,85,347,49,1
126,85,349,49,1
128,85,348,49,1
